smiles,absorption wave length
CC(C)Oc1ccc(NC(=O)c2cccc(Cl)c2)cc1,307.92
Clc1cccc(Sc2ccc(-c3ccccn3)s2)c1,336.16
NNC(=O)c1cc2cc(F)ccc2[nH]1,302.18
COc1ccc(C(=O)NCc2csc3ccccc23)cc1,271.46
O=c1ccc(=O)n2n1Cc1ccccc1C2,343.8
CC[C@@H](C)[C@@H](N)CC(=O)O,219.87
Cc1ccccc1-c1nc2sc(-c3ccccc3)cc2c(=O)o1,371.88
CC(=O)S[C@@H]1CC(=O)N(c2ccc(C(F)(F)F)cc2)C1=O,253.43
Cn1cc(Cl)c(/C=C(\C#N)C(N)=S)n1,502.75
Cc1ccc2nc(-c3ccc(Cl)cc3)oc(=O)c2c1,316.02
CN1CCC(=C2c3ccccc3Oc3ccc(Cl)cc32)CC1,309.16
CCOc1ccc(N[C@@H]2CC(=O)N(c3ccccc3F)C2=O)cc1,332.03
Cc1cc(C)c(C#N)c(SCc2ccccc2C#N)n1,323.37
O=C(NC(=S)Nc1cc(C(F)(F)F)ccc1Cl)c1ccco1,435.14
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,354.43
O=C(NC(=S)Nc1ccccc1O)c1cccs1,395.31
CC(C)(C)NC(=S)Nc1ccc(F)cc1F,324.24
S=C(NCCc1ccccc1)Nn1cnnc1,300.3
Cc1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1C,395.25
Cc1n[nH]c2c1[C@@H](c1ccc3ccccc3c1)C(C#N)=C(N)O2,285.89
COc1ccc(C(=O)NNC(=O)c2ccccc2C(=O)O)cc1,297.2
C[C@H]1CCc2c(C#N)c(N)sc(=S)c2C1,486.23
CCOC(=O)c1c(-c2ccc(C)cc2)csc1N,289.25
COc1ccc(/C=N/n2nnc3ccccc32)cc1,336.55
Cc1ccc(C(=O)NCCc2ccccc2)cc1[N+](=O)[O-],331.24
Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,329.5
CCOC(=O)c1c(NC(=O)/C=C/C(=O)O)sc(C)c1C,420.27
O=C1C=CC(=O)N1Cc1cccs1,407.32
CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(=O)O,277.96
NC(=O)c1cc(-c2ccncc2)nnc1Cl,364.77
CCOC(=O)c1cnc(SCC(=O)c2ccc(F)cc2)nc1N,341.18
O=C(OCCN1CCCCCC1)[C@@H](c1ccsc1)C1CCCCC1,253.88
Cc1ccc(NC(=O)[C@H]2CC2(C)C)cc1,249.61
O=C(Nc1cccc(C(F)(F)F)c1)c1ccc(O)cc1,275.35
C[C@H]1CCc2c(sc(NC(=O)c3ccc(F)cc3)c2C#N)C1,311.6
Cc1cc(C)n(-c2nnc3c4ccccc4n(C)c3n2)n1,383.05
CCOC(=O)/C(C(C)=O)=C1\SC[C@@H](C)S1,342.91
Cc1nn(C)cc1/C=N/NC(=O)[C@H](C)Nc1cccc(Cl)c1,334.13
CC(C)CN(CC(C)C)C(=O)/C=C/c1ccc(Cl)cc1,322.44
O=C(NCCc1nc2ccccc2[nH]1)[C@H]1COc2ccccc2O1,260.78
O=C(c1ccc2c(c1)OCO2)N(Cc1ccccc1)c1ccccn1,278.55
O=[N+]([O-])c1ccccc1CO,330.01
C=CCN1C(=O)N[C@]2(O)C(=O)c3ccccc3[C@@]12O,332.55
Cc1nc2ccccc2c(=O)n1NC(=O)c1ccccc1F,308.11
O=C(N/N=C/c1cccnc1)c1c[nH]c2ccccc12,356.55
CC(C)(C)c1cc2cc(N)ccc2[nH]1,295.9
N#CC1=C(N)Oc2c(oc(CO)cc2=O)[C@@]12C(=O)Nc1ccccc12,320.98
O=C(c1ccccn1)[C@@H](O)c1ccccn1,383.1
COc1ccc(C(=O)Nc2cccc(C)c2)cc1[N+](=O)[O-],351.03
COc1cccc2c1OCC(C#N)=C2,353.0
Cc1csc(-c2nc(-c3ccc(C(C)(C)C)cc3)no2)c1,300.92
O=C1OC(c2ccccc2Cl)=N/C1=C\c1ccc2ccccc2c1,409.99
Cn1c(-c2ccco2)nc2c3ccccc3c3ccccc3c21,341.54
CC(C)(C)c1ccc(C(=O)Nc2ccc3c(c2)OCO3)cc1,325.39
O=C(NCc1ccc(-c2csnn2)cc1)Nc1ccccc1,326.19
COc1cc(/C=N/NC(=S)Nc2cccc(F)c2)ccc1O,402.06
O=C(COC(=O)c1ccc2c(c1)OCO2)c1cccc([N+](=O)[O-])c1,423.41
C=CCn1c2ccccc2c2nnc(SCC(N)=O)nc21,382.26
Cc1ccc(C)c(OCC(=O)Nc2nccs2)c1C,288.48
O=C(NNc1ccccc1F)c1c(F)cccc1Cl,273.16
COc1ccc(COC(=O)N/N=C/c2cccc(C)n2)cc1,291.01
COc1ccc(-c2n[nH]c(=S)n2C2CCCCC2)cc1,308.46
O=C(Nc1cccc2ccccc12)/C(Cl)=C/c1ccccc1,370.74
COc1cc2ncnc(N3CCCC3)c2cc1OC,308.19
Cc1cc(=O)oc2cc(OCC(=O)Oc3ccccc3)ccc12,295.77
COc1ccccc1NC(=S)NCc1ccncc1,352.28
CC(C)[C@@H]1C(=O)N[C@@H](CO)Cc2c[nH]c3cccc(c23)N1C,300.43
O=C(COc1ccc(-c2ccccc2)cc1)Nc1ccc(F)cc1,262.39
Cc1ccc([C@H](O)C#CC(C)(C)O)o1,223.41
COc1cccc2cc(C(=O)Nc3ccc[nH]c3=O)c(=O)oc12,450.4
Cc1ccccc1N1C(=O)C(Cl)=C(Oc2ccccc2)C1=O,400.24
COc1cc(/C=C2/N=C(c3ccccc3)OC2=O)cc(OC)c1OC,410.17
Cc1cc(C)cc(NC(=O)N2c3ccccc3NC(=O)C[C@@H]2C)c1,300.38
Cc1cc2c(c(SCC(=O)c3ccccc3)n1)C(=O)OC2,340.03
Nc1cccc2c1-c1ccccc1C2=O,427.04
Cc1cccc(OCC(=O)Nc2nc3ccccc3n2C)c1C,289.89
COC(=O)c1ccccc1N1C(=O)c2ccc(C)cc2C1=O,325.81
COc1cccc(-c2nc(-c3ccc([N+](=O)[O-])cc3)no2)c1,356.53
Cc1ccc(NC(=O)Cc2nn(C)c(=O)c3ccccc23)cc1C,334.04
Cc1ccc(NC(=O)[C@H]2COc3ccccc3O2)nc1,281.62
CCc1cc(C(=O)Cc2ccc3c(c2)OCO3)c(O)cc1O,352.59
O=C(N/N=C/c1ccc[nH]1)[C@@H]1C[C@H]1c1ccccc1,298.61
C[C@H](C(=O)NCc1ccccn1)N(c1ccccc1)S(C)(=O)=O,250.15
CCOC(=O)c1cnc2c(C)c(Cl)ccc2c1Nc1ccccc1,368.44
