smiles,absorption wave length
CC(=O)CC(=O)Nc1nccs1,276.37
CCOC(=O)Cn1cc([N+](=O)[O-])cn1,319.58
O=C1OC(c2ccc(Cl)c([N+](=O)[O-])c2)=N/C1=C\c1ccco1,415.86
O=C(Nc1ccccc1)Nc1cc(C2CC2)n[nH]1,260.12
COc1ccccc1OCC(=O)NN,246.89
CC[C@@H]1CCCCC[C@@H]1NC(C)=O,223.74
Cc1ccc(/C=N\n2cnnc2)s1,327.57
O=C1NCCc2c(-c3ccccc3)[nH]c3cccc1c23,326.21
CCOC(=O)[C@@H](C)Nc1nc(N)nc2ccccc12,314.79
CCOC(=O)/C(C#N)=C/c1ccc(Cl)cc1,310.23
O=C(NNC(=O)c1ccco1)c1ccc(Cl)cc1,300.98
COc1ccc(S(=O)(=O)N(C)C)cc1,243.84
CC(=O)CC(=O)Nc1ccccn1,281.77
CC(C)C[C@H]1CNC[C@@H]1c1noc(O)n1,240.93
COc1ccc(/C=C/C(=O)NC(C)(C)C)cc1,307.28
C[C@@H](NC(=S)Nc1ccc(Cl)cn1)c1ccccc1,371.64
O=C(Nc1ccc(F)cc1)c1ccccc1,292.66
CC(C)(C)NSC(=S)N1CCOCC1,344.86
O=C(N/N=C/c1ccc(Cl)s1)c1ccc2c(c1)OCO2,335.77
CC(C)CNC(=O)c1cccnc1,283.33
N#CCc1c[nH]c2ccc(OCc3ccccc3)cc12,278.37
O=S(=O)(Nc1nc2ccccc2s1)c1ccccc1,323.71
O=C(Nc1cn(C2CCC2)cn1)Oc1ccccc1,247.35
COC(=O)c1cc(NC(=S)NN)ccc1Cl,346.61
Cc1ccccc1-n1ccc(N)cc1=O,285.01
O=C(Nc1ccc(F)cc1)c1cccnc1,306.14
COC(=O)[C@H]1CCN(C#N)C1,235.15
NNC(=O)c1cc2ccccc2oc1=O,330.24
O=C1NCCn2c(-c3ccccc3)nc3cccc1c32,295.54
CC1=CC[C@H](NC(=O)c2ccncc2)CC1,290.21
CCOC(=O)Cn1nc(C(F)(F)F)cc1C,217.23
Cc1ccc(/C=N/NC(=O)Cc2cccs2)o1,313.37
COc1ccc(-c2cc(C#N)nnc2-c2ccc(OC)cc2)cc1,368.84
Cc1nn(C[C@H](C)N)c2cc(Cl)c(F)cc12,290.43
CCOC(=O)/C(C#N)=C/c1ccc(N(C)C)cc1,355.29
Cc1ccoc1/C=N/NC(=O)Cc1ccccc1,296.18
Cc1ccc(/C=C2\N=C(c3ccc(Cl)c([N+](=O)[O-])c3)OC2=O)o1,437.97
COc1ccc(/C=C/C(=O)OC2CCCCC2)cc1,297.63
O=C(N/N=C/c1ccc2c(c1)OCO2)c1cccc([N+](=O)[O-])c1,475.45
O=C1SC(c2ccc(Cl)c([N+](=O)[O-])c2)=N/C1=C\c1ccco1,415.72
CS(=O)(=O)Nc1ccccc1F,241.85
CC(=O)c1ccc(NC(=O)CCC(=O)O)cc1,332.76
CC(=O)c1ccc(N2CCNCC2)cc1,320.51
NC(=O)c1cccc(C(N)=O)c1,281.68
CC(=C/c1ccco1)/C=N/n1cnnc1,338.5
N=C(N)c1ccc(-c2ccc(-c3ccc(C(=N)N)cc3)o2)cc1,359.2
O=C([C@@H]1CC12CCC2)N1CCc2ccccc21,265.77
O=C1O[C@@H]([C@@H]2OC(=O)c3ccccc32)c2ccccc21,262.27
O=C(NN=C1CCCCC1)c1ccncc1,298.75
CCC[C@@H]1CCCCC[C@@H]1NC(C)=O,221.68
c1ccc2c(c1)CN(c1ccnc3ccccc13)C2,307.59
Nc1nnnn1/N=C/c1c(O)ccc2ccccc12,347.92
CCC(=O)c1sc(Nc2ccccc2)nc1N,327.16
CC(C)(C)c1ccc(C2=N/C(=C/c3ccco3)C(=O)O2)cc1,388.87
OC1C[C@@H]2CC[C@H](C1)N2CCc1ccccc1,239.19
Cc1nnc([C@@]23CCCN(CC2)C3)o1,241.89
C[C@@H](S)[C@H](Cc1ccc(N)nc1)C(=O)O,270.73
COc1cccc(/C=N/NC(=O)c2ccco2)c1,319.64
CCOC(=O)c1c(C)nn(-c2cccc([N+](=O)[O-])c2)c1C,344.38
CCN(CC)CCSc1ncnc2ccccc12,342.73
O=C(Nc1nccs1)c1cccnc1,316.91
Clc1ccc(C2=NN=C(N3CCCC3)SC2)cc1,374.73
C/C(=N/NC(=O)c1ccco1)c1ccco1,307.8
COc1ccc(-c2cnc3c(-c4cccnc4)cnn3c2)cc1,382.58
Clc1ccc2c(N3CCc4ccccc4C3)ccnc2c1,311.58
O=C(CCl)NCc1ccccc1,229.04
CCNc1nc(N)c(C(=O)c2ccccc2)s1,335.84
O=S(=O)(Nc1ncccn1)c1ccccc1,277.4
CCOC(=O)c1cnc2c([N+](=O)[O-])cnn2c1C,329.27
O=C(N/N=C/c1cccc([N+](=O)[O-])c1)c1cccc(O)c1,349.3
C[N+](C)(C)C[C@@H]1CCC[C@@H]1O,170.64
CC[C@@H](C)NC(=O)c1ccc(OC)cc1,268.77
COc1ccc(-c2nc3cccnc3[nH]2)cc1N,326.05
